RSSIS_1,RSSIS_2,RSSIS_3,RSSIS_4,RSSIS_5,RSSIS_6,RSSIS_7,RSSIS_8,RSSIS_9,RSSIS_10,RSSIS_11,RSSIS_12,RSSIS_13,RSSIS_14,RSSIS_15,RSSIS_16,RSSIS_17,RSSIS_18,RSSIS_19,RSSIS_20,RSSIS_21,RSSIS_22,RSSIS_23,RSSIS_24,RSSIS_25,RSSIS_26,RSSIS_27,RSSIS_28,RSSIS_29,RSSIS_30,RSSIS_31,RSSIS_32,RSSIS_33,RSSIS_34,RSSIS_35,RSSIS_36
3,4,2,1,4,3,1,1,3,1,4,4,2,4,1,3,4,5,2,1,5,2,1,2,4,4,4,1,4,1,1,4,2,2,2,2
3,5,1,5,4,2,1,3,5,5,2,4,1,5,2,3,4,5,3,2,5,2,3,4,5,5,5,1,3,5,5,3,5,2,4,2
3,2,1,3,3,2,2,4,5,3,5,1,2,5,2,4,5,1,5,5,5,2,2,1,5,4,2,2,2,5,3,4,5,2,4,4
3,5,5,3,2,1,3,2,5,3,5,5,1,4,4,3,3,4,3,4,4,5,4,3,1,2,5,4,4,3,4,2,1,2,5,1
4,3,5,5,5,5,4,5,3,2,2,5,4,3,2,1,5,3,2,3,5,5,3,2,4,5,3,2,5,2,1,5,1,5,3,5
2,1,5,1,1,2,2,2,1,1,1,2,3,1,1,3,3,1,1,1,1,3,1,1,4,4,1,2,4,2,4,3,3,2,5,2
2,2,2,2,1,1,2,1,1,2,3,2,2,2,1,1,2,1,2,1,1,2,3,1,1,1,1,1,3,1,3,1,2,1,1,1
3,2,1,1,1,1,2,4,1,3,4,3,1,2,1,2,2,1,2,5,2,1,4,1,2,2,1,2,1,1,2,1,1,1,2,1
1,1,2,2,1,1,2,1,1,1,3,1,1,1,2,2,1,1,2,2,1,1,2,1,3,1,1,2,1,3,1,4,1,1,1,1
1,4,2,1,1,1,2,1,5,2,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1
1,2,1,2,1,2,3,1,2,2,1,1,4,2,1,2,3,1,1,2,1,1,4,1,2,1,4,1,4,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,5,4,2,4,5,3,1,3,1,4,5,4,4,5,3,2,5,5,5,4,4,4,5,5,2,5,4,2,4,5,3,5,4,5,4
5,1,3,2,3,3,4,2,2,1,2,2,1,2,1,4,5,2,5,4,2,4,3,2,1,1,2,3,1,1,1,1,4,5,5,3
1,4,3,3,4,1,1,1,1,1,3,2,5,1,1,2,2,3,1,2,1,3,1,1,3,3,1,3,3,5,4,1,4,1,1,4
3,1,1,2,1,1,1,1,1,2,1,2,1,2,1,2,2,4,1,1,1,2,2,2,2,2,3,1,1,1,3,3,2,3,2,2
4,4,3,2,4,4,4,1,5,3,3,2,4,1,2,1,4,1,5,5,1,4,4,1,1,1,4,2,4,4,2,3,1,4,5,1
3,5,4,4,2,1,3,3,3,5,2,3,3,1,5,4,2,3,3,4,5,5,3,1,1,4,2,2,4,3,3,1,3,1,1,2
